;Level 0;Level 1;Level 2;Level 3;Level 4;Level 5
Weighted Importance of each level;9;11;13;17;22;28
Active Listening;2;3;3;4;4;3
Clean Code;2;2;3;3;3;4
Collaboration for Designers;2;1;3;4;2;4
Content Operations;1;1;2;3;3;3
Continuous Learning;2;2;3;3;3;2
Functional Testing;1;3;1;5;3;2
Giving Feedback;2;3;3;4;4;3
Java;2;2;1;1;2;3
JavaScript;2;2;3;4;2;2
Knowing Our Users;2;2;2;2;3;5
Managing for Progress;3;3;3;5;4;3
Prioritization;3;4;3;3;3;2
Problem Solving;2;4;6;5;6;5
Receiving Feedback;2;3;3;2;3;3
Refactoring;1;2;3;2;1;3
Rust/SiGNAL;1;4;5;6;7;6
Stakeholder Engagement;2;3;3;4;4;2
Teamwork;1;4;4;3;5;3
Technical Writing / Content Development;1;2;2;3;2;2
Test Automation;1;1;3;7;5;5
Test Driven Development;1;1;1;2;1;2
Working with Unknown Code;1;2;2;3;2;4
